topic_id,title,angle,content_pillar,audience_pain,channel_priority,status,created_at,strategy_cycle_id
proposed-2026-08-21-01,[PLACEHOLDER] Topic 1 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-02,[PLACEHOLDER] Topic 2 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-03,[PLACEHOLDER] Topic 3 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-04,[PLACEHOLDER] Topic 4 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-05,[PLACEHOLDER] Topic 5 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-06,[PLACEHOLDER] Topic 6 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-07,[PLACEHOLDER] Topic 7 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-08,[PLACEHOLDER] Topic 8 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-09,[PLACEHOLDER] Topic 9 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-10,[PLACEHOLDER] Topic 10 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-11,[PLACEHOLDER] Topic 11 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-12,[PLACEHOLDER] Topic 12 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-13,[PLACEHOLDER] Topic 13 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-14,[PLACEHOLDER] Topic 14 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-15,[PLACEHOLDER] Topic 15 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-16,[PLACEHOLDER] Topic 16 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-17,[PLACEHOLDER] Topic 17 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-18,[PLACEHOLDER] Topic 18 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-19,[PLACEHOLDER] Topic 19 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-20,[PLACEHOLDER] Topic 20 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-21,[PLACEHOLDER] Topic 21 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-22,[PLACEHOLDER] Topic 22 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-23,[PLACEHOLDER] Topic 23 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-24,[PLACEHOLDER] Topic 24 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-25,[PLACEHOLDER] Topic 25 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-26,[PLACEHOLDER] Topic 26 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-27,[PLACEHOLDER] Topic 27 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-28,[PLACEHOLDER] Topic 28 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-29,[PLACEHOLDER] Topic 29 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
proposed-2026-08-21-30,[PLACEHOLDER] Topic 30 — to be refined,Define based on research brief,Patterns & Self-knowledge,Define based on research,All,proposed,2026-08-21,CL-2026-08-cycle-21
