topic_id,title,angle,content_pillar,audience_pain,channel_priority,status,created_at,strategy_cycle_id
proposed-2026-07-31-01,How to Find Your Starting Point in Self-Discovery,Identifying the first steps in your self-awareness journey,Starting Points & Pathways,Uncertainty about where to begin,All,proposed,2026-07-31,CL-2026-07-cycle-31
proposed-2026-07-31-02,Breaking Down Internal Barriers: A Step-by-Step Guide,Practical steps to identify and overcome personal barriers,Overcoming Internal Barriers,Feeling stuck due to internal challenges,Wix / Instagram,proposed,2026-07-31,CL-2026-07-cycle-31
proposed-2026-07-31-03,The Role of Self-Compassion in Gaining Clarity,How self-compassion helps in understanding oneself better,Practical Clarity Tools,Self-criticism hindering clarity,All,proposed,2026-07-31,CL-2026-07-cycle-31
proposed-2026-07-31-04,Mapping Your Internal Landscape: A Guided Exercise,Using visualization to understand your internal world,Starting Points & Pathways,Difficulty in visualizing internal processes,Wix / Threads,proposed,2026-07-31,CL-2026-07-cycle-31
proposed-2026-07-31-05,Transforming Overwhelm into Actionable Steps,Converting feelings of overwhelm into clear actions,Overcoming Internal Barriers,Overwhelm blocking progress,Instagram / Threads,proposed,2026-07-31,CL-2026-07-cycle-31
proposed-2026-07-31-06,The Power of Journaling for Clarity,How journaling can be a tool for self-discovery,Practical Clarity Tools,Lack of clarity in thoughts and emotions,All,proposed,2026-07-31,CL-2026-07-cycle-31
proposed-2026-07-31-07,Understanding Your Emotional Triggers,Identifying and managing emotional triggers for better clarity,Overcoming Internal Barriers,Emotional reactions clouding judgment,Wix / Instagram,proposed,2026-07-31,CL-2026-07-cycle-31
proposed-2026-07-31-08,From Confusion to Clarity: A Guided Meditation,Using meditation to clear mental fog,Practical Clarity Tools,Mental confusion and lack of focus,Instagram / Threads,proposed,2026-07-31,CL-2026-07-cycle-31
proposed-2026-07-31-09,The Impact of Language on Self-Perception,How the words we use shape our self-image,Practical Clarity Tools,Negative self-talk affecting self-esteem,Wix / Instagram,proposed,2026-07-31,CL-2026-07-cycle-31
proposed-2026-07-31-10,Creating a Personal Clarity Map,Developing a personalized roadmap for self-awareness,Starting Points & Pathways,Lack of direction in personal growth,Wix,proposed,2026-07-31,CL-2026-07-cycle-31
proposed-2026-07-31-11,How to Identify and Break Negative Patterns,Recognizing and altering detrimental habits,Overcoming Internal Barriers,Recurring negative patterns,All,proposed,2026-07-31,CL-2026-07-cycle-31
proposed-2026-07-31-12,The Science Behind Clarity: Understanding the Brain,Exploring how brain function influences clarity,Practical Clarity Tools,Lack of understanding of mental processes,Wix,proposed,2026-07-31,CL-2026-07-cycle-31
proposed-2026-07-31-13,How to Use Visualization for Better Self-Understanding,Techniques for visualizing personal growth,Practical Clarity Tools,Difficulty in conceptualizing personal change,Instagram / Threads,proposed,2026-07-31,CL-2026-07-cycle-31
proposed-2026-07-31-14,Navigating the Unknown: Embracing Uncertainty,Strategies for dealing with uncertainty in self-discovery,Overcoming Internal Barriers,Fear of the unknown hindering progress,Wix / Instagram,proposed,2026-07-31,CL-2026-07-cycle-31
proposed-2026-07-31-15,The Role of Feedback in Personal Growth,Using feedback constructively for self-improvement,Practical Clarity Tools,Difficulty accepting or utilizing feedback,All,proposed,2026-07-31,CL-2026-07-cycle-31
proposed-2026-07-31-16,Building a Routine for Continuous Clarity,Establishing habits that promote ongoing self-awareness,Starting Points & Pathways,Inconsistency in personal development efforts,Wix / Instagram,proposed,2026-07-31,CL-2026-07-cycle-31
proposed-2026-07-31-17,How to Cultivate a Growth Mindset,Fostering a mindset that supports personal clarity,Overcoming Internal Barriers,Fixed mindset limiting personal growth,All,proposed,2026-07-31,CL-2026-07-cycle-31
proposed-2026-07-31-18,The Connection Between Clarity and Emotional Intelligence,Exploring how emotional intelligence enhances clarity,Practical Clarity Tools,Low emotional intelligence affecting clarity,Wix / Threads,proposed,2026-07-31,CL-2026-07-cycle-31
proposed-2026-07-31-19,Understanding the Role of Values in Clarity,Aligning personal values with self-discovery,Starting Points & Pathways,Misalignment of actions and values,Wix / Instagram,proposed,2026-07-31,CL-2026-07-cycle-31
