topic_id,title,angle,content_pillar,audience_pain,channel_priority,status,created_at,strategy_cycle_id
proposed-2026-07-29-01,How to Cultivate a Mindful Morning Routine,Practical steps for starting your day with intention,Practical Strategies for Mental Clarity,Struggling with mental clutter and chaotic mornings,All,proposed,2026-07-29,CL-2026-07-cycle-29
proposed-2026-07-29-02,The Role of Language in Shaping Reality,Exploring how words influence perception and thought,Language & Cognitive Awareness,Difficulty in understanding the power of language,Wix / Instagram,proposed,2026-07-29,CL-2026-07-cycle-29
proposed-2026-07-29-03,Mindfulness Practices for Everyday Clarity,Simple mindfulness techniques to integrate into daily life,Cognitive Transformation & Mindfulness,Seeking easy ways to practice mindfulness,All,proposed,2026-07-29,CL-2026-07-cycle-29
proposed-2026-07-29-04,Unpacking the Layers of Self-Perception,How self-perception affects clarity and decision-making,Cognitive Transformation & Mindfulness,Uncertainty about self-image and decision-making,Wix / Threads,proposed,2026-07-29,CL-2026-07-cycle-29
proposed-2026-07-29-05,The Science of Mental Decluttering,Research-backed methods for reducing mental clutter,Practical Strategies for Mental Clarity,Feeling overwhelmed by thoughts and obligations,Wix,proposed,2026-07-29,CL-2026-07-cycle-29
proposed-2026-07-29-06,How Language Influences Emotional Experience,The connection between linguistic choices and emotions,Language & Cognitive Awareness,Difficulty in managing emotions through language,Instagram / Threads,proposed,2026-07-29,CL-2026-07-cycle-29
proposed-2026-07-29-07,Creating Space for New Patterns of Thinking,Techniques for breaking old thought patterns,Cognitive Transformation & Mindfulness,Stuck in repetitive and unproductive thought cycles,All,proposed,2026-07-29,CL-2026-07-cycle-29
proposed-2026-07-29-08,The Power of Questions in Personal Growth,How asking the right questions can lead to transformation,Practical Strategies for Mental Clarity,Lack of direction in personal development,Wix / Instagram,proposed,2026-07-29,CL-2026-07-cycle-29
proposed-2026-07-29-09,Understanding the Emotional Weight of Words,Exploring the impact of language on emotional wellbeing,Language & Cognitive Awareness,Unaware of how language affects emotional states,Threads,proposed,2026-07-29,CL-2026-07-cycle-29
proposed-2026-07-29-10,How to Reframe Negative Thoughts,Strategies for shifting perspective on negative thinking,Cognitive Transformation & Mindfulness,Struggling with persistent negative thoughts,All,proposed,2026-07-29,CL-2026-07-cycle-29
