topic_id,title,angle,content_pillar,audience_pain,channel_priority,status,created_at,strategy_cycle_id
proposed-2026-09-02-01,How to Navigate Your Internal Landscape,Practical steps to understand and manage your inner world,Navigating Internal Landscapes,Feeling lost or overwhelmed by internal thoughts,All,proposed,2026-09-02,CL-2026-09-cycle-02
proposed-2026-09-02-02,Breaking Down Complexity: A Guide to Simplicity,Techniques to simplify complex emotions and thoughts,Simplifying Complexity,Struggling with overwhelming complexity in thoughts,All,proposed,2026-09-02,CL-2026-09-cycle-02
proposed-2026-09-02-03,Aligning Your Actions with Your True Self,Steps to ensure your actions reflect your inner clarity,Aligning Actions with Self,Disconnect between internal clarity and external actions,All,proposed,2026-09-02,CL-2026-09-cycle-02
proposed-2026-09-02-04,The Art of Self-Awareness: Navigating Your Mind,Exploring self-awareness as a tool for internal navigation,Navigating Internal Landscapes,Lack of self-awareness leading to confusion,Instagram,proposed,2026-09-02,CL-2026-09-cycle-02
proposed-2026-09-02-05,From Chaos to Clarity: Simplifying Your Thoughts,Methods to organize and simplify chaotic thoughts,Simplifying Complexity,Mental chaos causing stress,Wix,proposed,2026-09-02,CL-2026-09-cycle-02
proposed-2026-09-02-06,Living Authentically: Translating Clarity into Action,How to live in alignment with your inner truths,Aligning Actions with Self,Difficulty in living authentically,Threads,proposed,2026-09-02,CL-2026-09-cycle-02
proposed-2026-09-02-07,Understanding Your Inner Dialogue,Exploring how internal conversations shape your reality,Navigating Internal Landscapes,Negative self-talk impacting self-perception,All,proposed,2026-09-02,CL-2026-09-cycle-02
proposed-2026-09-02-08,Simplifying Emotional Complexity,Frameworks to make sense of complex emotions,Simplifying Complexity,Emotional overwhelm,Instagram,proposed,2026-09-02,CL-2026-09-cycle-02
proposed-2026-09-02-09,Actionable Clarity: Making Decisions with Confidence,Using clarity to guide decision-making,Aligning Actions with Self,Indecision due to lack of clarity,Wix,proposed,2026-09-02,CL-2026-09-cycle-02
proposed-2026-09-02-10,Mapping Your Internal World: A Guide to Self-Discovery,Creating a map of your thoughts and emotions,Navigating Internal Landscapes,Feeling lost in self-discovery,All,proposed,2026-09-02,CL-2026-09-cycle-02
proposed-2026-09-02-11,Demystifying Complex Thoughts,Techniques to untangle and understand complex thoughts,Simplifying Complexity,Complex thoughts causing confusion,Threads,proposed,2026-09-02,CL-2026-09-cycle-02
proposed-2026-09-02-12,From Insight to Action: Bridging the Gap,How to turn self-insights into meaningful actions,Aligning Actions with Self,Struggle to act on self-insights,Instagram,proposed,2026-09-02,CL-2026-09-cycle-02
proposed-2026-09-02-13,The Journey Within: Navigating Internal Challenges,Strategies for overcoming internal obstacles,Navigating Internal Landscapes,Internal challenges hindering progress,Wix,proposed,2026-09-02,CL-2026-09-cycle-02
proposed-2026-09-02-14,Simplifying Thought Patterns,Identifying and simplifying recurring thought patterns,Simplifying Complexity,Recurring thoughts causing distress,All,proposed,2026-09-02,CL-2026-09-cycle-02
proposed-2026-09-02-15,Living in Alignment: Translating Clarity into Life,How to ensure your lifestyle reflects your internal clarity,Aligning Actions with Self,Lifestyle misalignment with personal values,Threads,proposed,2026-09-02,CL-2026-09-cycle-02
proposed-2026-09-02-16,Exploring Your Inner World,Tools and techniques for internal exploration,Navigating Internal Landscapes,Difficulty understanding internal processes,All,proposed,2026-09-02,CL-2026-09-cycle-02
proposed-2026-09-02-17,Decoding Complexity: A Path to Simplicity,Decoding complex emotions and thoughts,Simplifying Complexity,Complexity leading to confusion,Instagram,proposed,2026-09-02,CL-2026-09-cycle-02
proposed-2026-09-02-18,Actioning Your Insights: The Path to Authentic Living,Using insights to guide authentic living,Aligning Actions with Self,Struggle to live authentically,Wix,proposed,2026-09-02,CL-2026-09-cycle-02
